loss,categorical_accuracy,val_loss,val_categorical_accuracy
0.6905564665794373,0.5437191128730774,0.6908819675445557,0.5320748090744019
0.6889477372169495,0.5437191128730774,0.6885619163513184,0.5320748090744019
0.6576889753341675,0.5997329354286194,0.6341920495033264,0.6363636255264282
0.6155670285224915,0.6585749387741089,0.6342916488647461,0.6293988227844238
0.5997768640518188,0.671458899974823,0.6097291111946106,0.6559750437736511
0.5774893760681152,0.6877995133399963,0.6054755449295044,0.6524926424026489
0.5402836799621582,0.7178882956504822,0.5365252494812012,0.7228739261627197
0.48833680152893066,0.7585042119026184,0.5210649371147156,0.7413856387138367
0.42326146364212036,0.8027339577674866,0.4396490156650543,0.7912390232086182
0.3345596194267273,0.8547411561012268,0.37137743830680847,0.8418254852294922
0.266350656747818,0.8922146558761597,0.31742802262306213,0.8678519129753113
0.19718007743358612,0.9223819971084595,0.29145297408103943,0.8876466155052185
0.16556280851364136,0.9380155801773071,0.26705464720726013,0.9004765152931213
0.1286306083202362,0.9518423080444336,0.2535875737667084,0.9065248966217041
0.10883790254592896,0.9572629928588867,0.2810668647289276,0.9067081809043884
